incidentType,name,reptDevIpAddr,createDevice,deviceName,deviceType,domainController,count,method
PH_RULE_VPN_FAILED_LOGON_OUTSIDE_COUNTRY,Failed VPN Logon From Outside My Country,$localhost,,,,,3,syslog
PH_RULE_CONCURRENT_VPN_AUTH_MULTI_CITY,Concurrent VPN Authentications To Same Account From Different Cities,$localhost,,,,,1,syslog
PH_RULE_CONCURRENT_SUCCESS_AUTH_MULTI_CITY,Concurrent Successful Authentications To Same Account From Multiple Cities,$localhost,,,,,1,syslog
PH_RULE_CONCURRENT_SUCCESS_AUTH_MULTI_COUNTRY,Concurrent Successful Authentications To Same Account From Multiple Countries,$localhost,,,,,1,syslog
PH_RULE_CONCURRENT_FAILED_AUTH_MULTI_COUNTRY,Concurrent Failed Authentications To Same Account  From Multiple Countries,$localhost,,,,,1,syslog
PH_RULE_CONCURRENT_FAILED_AUTH_MULTI_CITY,Concurrent Failed Authentications To Same Account From Multiple Cities,$localhost,,,,,1,syslog
PH_RULE_INVALID_TCP_FLAG_HIGH,Invalid TCP Flags: High Intensity,121.121.121.11,,,,,501,netflow
PH_RULE_INVALID_TCP_FLAG_MEDIUM,Invalid TCP Flags: Medium Intensity,121.121.121.1,,,,,200,netflow
PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,$localhost,,,,,1,syslog
PH_RULE_SUCCESS_ACTIVITY_ON_DISABLED_ACCT,Successful Account Activity On a Disabled Account,$localhost,,,,,1,syslog
PH_RULE_FAILED_ACTIVITY_ON_DISABLED_ACCT,Failed Account Activity On Disabled Account,$localhost,,,,,1,syslog
PH_RULE_P2P_TRAFFIC,P2P traffic detected,30.0.1.22,TRUE,automator30Dot0Dot1Dot22,snort_ips,,1,syslog
PH_RULE_TUNNEL_TRAFFIC,Tunneled traffic detected,30.0.3.23,TRUE,automator30Dot0Dot3Dot23,fortinet,,1,syslog
PH_RULE_CHANGE_STARTUP_CONFIG_LOGIN,Startup Config Change (with login info),50.20.0.2,,,,,1,syslog
PH_RULE_HIGH_SEV_SEC_IPS_IN_PERMIT,High Severity Inbound Permitted IPS Exploit,30.0.3.13,TRUE,automator30Dot0Dot3Dot13,fortinet,,1,syslog
PH_RULE_HIGH_SEV_SEC_IPS_IN_DENY,High Severity Inbound Denied Security Exploit,30.0.3.23,TRUE,automator30Dot0Dot3Dot23,fortinet,,1,syslog
PH_RULE_AUDIT_DISABLED,Windows Audit Disabled,30.0.3.23,,,,,1,syslog
PH_RULE_AUDIT_LOG_CLEARED,Windows Audit Log Cleared,30.30.30.130,,,,,1,syslog
PH_RULE_ZEUS_BLOCKED_IP,Traffic to Zeus Blocked IP List,30.0.4.22,TRUE,automator30Dot0Dot4Dot22,juniper-ssg,,1,syslog
PH_RULE_MULTI_ACCOUNT_DISABLED,Multiple Accounts Disabled by Administrator,$localhost,,,,,1,syslog
PH_RULE_DOWN_INTF_NET_NONCRIT,Non-critical Network Device Interface Staying Down,30.0.4.44,TRUE,automator30Dot0Dot4Dot44,cisco,,1,syslog
PH_RULE_P2P_TRAFFIC_HIGH_BW,P2P traffic using up high network bandwidth,40.0.0.1,TRUE,automator40Dot0Dot0Dot1,snort_ips,,1,syslog
PH_RULE_SYS_ONLINE_ARCHIVE_FAILED,FortiSIEM Online Event Database Archiving Failed,$localhost,,,,,1,syslog
PH_RULE_SYS_ARCHIVE_PURGE_LOW_SPACE,System Archive Purging Completed - Low Available Space,$localhost,,,,,1,syslog
PH_RULE_SYS_ONLINE_ARCHIVE_COMPLETED,FortiSIEM Online Event Database Archiving Completed,$localhost,,,,,1,syslog
PH_RULE_SQL_SRV_LOW_BUFF_CACHE_HIT,SQL Server Low Buffer Cache Hit Ratio,48.48.48.48,,,,,2,syslog
PH_RULE_SQL_SRV_EXCESS_FULL_SCAN,SQL Server Excessive Full Scan,$localhost,,,,,2,syslog
PH_RULE_ORADB_NONSYS_TABLESPACE_HIGH,High Oracle Non-System Table Space Usage,20.20.20.20,,,,,2,syslog
PH_RULE_ORADB_SYSTEM_TABLESPACE_HIGH,High Oracle System Table Space Usage,20.20.20.25,,,,,2,syslog
PH_RULE_HEAVY_HO_TCP_HOST_SCAN_FIXED_PORT,Heavy Half Open TCP Host Scan On Fixed Port,20.20.20.26,,,,,105,netflow
PH_RULE_HEAVY_HO_TCP_HOST_SCAN,Heavy Half-Open TCP Host Scan,20.20.20.27,,,,,105,netflow
PH_RULE_HEAVY_HO_TCP_PORT_SCAN,Heavy Half-Open TCP Port Scan: Single Destination,20.20.20.28,,,,,23,netflow
PH_RULE_REPEAT_HEAVY_HO_TCP_PORT_SCAN,Heavy Half-Open TCP Port Scan: Multiple Destinations,$appServer,,,,,1,netflow
PH_RULE_EXECUTABLE_FILE_POST,Executable file posting from external source,$localhost,,,,,1,syslog
PH_RULE_SYS_ARCHIVE_PURGE_POLICY,System Archive Purging Completed - Policy Driven,$appServer,,,,,1,syslog
PH_RULE_SYS_EVENTDB_PURGE,System EventDB Purge Completed,$appServer,,,,,1,syslog
PH_RULE_SYS_ARCHIVE_PURGE_FAILED,System Archive Purging Failed,$appServer,,,,,1,syslog
PH_RULE_SYS_ARCHIVE_LOW_SPACE,Low Available System Archive Space,$appServer,,,,,1,syslog
PH_RULE_SYS_ARCHIVE_UNAVAIL,System Archive Directory Unavailable,$appServer,,,,,1,syslog
PH_RULE_INTF_FLAP_SERVER,Server Network Interface Flapping,145.145.145.1,TRUE,automator145Dot145Dot145Dot1,linux,,3,syslog
PH_RULE_SYS_INCIDENT_NOTIF_ERROR,Incident Notification Error,$appServer,,,,,1,syslog
PH_RULE_SQL_SRV_EXCESS_PAGE_RW,SQL Server Excessive Page Read/Write,48.48.48.50,,,,,2,syslog
PH_RULE_SQL_SRV_LOW_LOG_CACHE_HIT,SQL Server Low Log Cache Hit Ratio,48.48.48.51,,,,,2,syslog
PH_RULE_SQL_SRV_EXCESS_DEADLOCK,SQL Server Excessive Deadlock,48.48.48.52,,,,,2,syslog
PH_RULE_SQL_SRV_LOW_BP_PAGES,SQL Server Low Free Pages in Buffer Pool,48.48.48.53,,,,,2,syslog
PH_RULE_IMPORTANT_APP_STAY_DOWN,Important Process Staying Down,12.12.12.12,TRUE,automator12Dot12Dot12Dot12,linux,,1,syslog
PH_RULE_SERVER_PAGING_FILE_CRIT,Windows Server Paging File Usage Critical,177.56.57.175,TRUE,automator177Dot56Dot57Dot175,win,,5,syslog
PH_RULE_INBOUND_VNC,VNC from Internet,$localhost,,,,,1,syslog
PH_RULE_RVBD_SYS_HEALTH_CRIT,Riverbed Steelhead System Health Critical,178.56.55.175,,,,,1,syslog
PH_RULE_RVBD_SYS_HEALTH_WARN,Riverbed Steelhead System Health Degraded,178.56.57.175,,,,,1,syslog
PH_RULE_RVBD_SVC_HEALTH_CRIT,Riverbed Steelhead Service Health Critical,178.57.57.175,,,,,1,syslog
PH_RULE_SERVER_DISK_LATENCY_CRIT,Server Disk Latency Critical,88.15.0.1,TRUE,automator88Dot15Dot0Dot1,win,,2,syslog
PH_RULE_SERVER_DISK_LATENCY_WARN,Server Disk Latency Warning,89.15.0.1,TRUE,automator89Dot15Dot0Dot1,win,,2,syslog
PH_RULE_DOWN_INTF_SERVER,Server Network Interface Staying Down,145.145.145.21,TRUE,automator145Dot145Dot145Dot21,linux,,1,syslog
PH_RULE_SUSPICIOUS_FAILED_LOGON_NO_SUCCESS,Suspicious Logon Failure: no following successful login,192.168.20.214,,,,,1,syslog
PH_RULE_VM_DISKIO_SCSI_BUS_RESET,Virtual Machine SCSI Bus Reset,18.3.0.1,,,,,1,syslog
PH_RULE_VIRUS_OUTBREAK,Virus outbreak,19.233.233.233,TRUE,automator19Dot233Dot233Dot233,fortinet,,1,syslog
